ASX Code,Company Name,Link,Market Cap,Last trade,Change,%Change,Sector
ISLM,Hejaz Equities Fund (Managed Fund) (ASX:ISLM),https://www.listcorp.com/asx/islm/hejaz-equities-fund-managed-fund,"	45972600",1.1,-0.01,-0.9,Unclassified
MEU,Marmota Limited (ASX:MEU),https://www.listcorp.com/asx/meu/marmota-limited,"	45953900",0.04,0,2.56,Energy
TYP,Tryptamine Therapeutics Limited (ASX:TYP),https://www.listcorp.com/asx/typ/tryptamine-therapeutics-limited,"	45838600",0.032,0,-3.03,Health Care
DOC,Doctor Care Anywhere Group plc (ASX:DOC),https://www.listcorp.com/asx/doc/doctor-care-anywhere-group-plc,"	45830300",0.13,0.01,4,Health Care
MNB,Minbos Resources Limited (ASX:MNB),https://www.listcorp.com/asx/mnb/minbos-resources,"	45827300",0.047,0,0,Materials
WRLD,BetaShares Managed Risk Global Share Fund (managed fund) (ASX:WRLD),https://www.listcorp.com/asx/wrld/betashares-managed-risk-global-share-fund-managed-fund,"	45476000",21.24,0.05,0.24,Unclassified
INCM,BetaShares Global Income Leaders ETF (ASX:INCM),https://www.listcorp.com/asx/incm/betashares-global-income-leaders-etf,"	45461600",18.45,0.01,0.05,Unclassified
TVL,Touch Ventures Limited (ASX:TVL),https://www.listcorp.com/asx/tvl/touch-ventures-limited,"	45336200",0.064,0,0,Financials
FRS,Forrestania Resources Limited (ASX:FRS),https://www.listcorp.com/asx/frs/forrestania-resources-limited,"	45098300",0.13,-0.01,-10.34,Materials
VIT,Vitura Health Limited (ASX:VIT),https://www.listcorp.com/asx/vit/vitura-health-limited,"	45033300",0.065,0,-4.41,Health Care
WTL,WT Financial Group Limited (ASX:WTL),https://www.listcorp.com/asx/wtl/wt-financial-group-limited,"	44484200",0.125,-0.01,-3.85,Financials
CLDD,BetaShares Cloud Computing ETF (ASX:CLDD),https://www.listcorp.com/asx/cldd/betashares-cloud-computing-etf,"	44382000",14.03,0.06,0.43,Unclassified
BOND,SPDR S&P/ASX Australian Bond Fund (ASX:BOND),https://www.listcorp.com/asx/bond/spdr-s-and-p-asx-australian-bond-fund,"	44205300",25.85,0.01,0.04,Unclassified
FLX,Felix Group Holdings Ltd (ASX:FLX),https://www.listcorp.com/asx/flx/felix-group-holdings-ltd,"	44163300",0.215,0,0,Information Technology
RTH,RAS Technology Holdings Limited (ASX:RTH),https://www.listcorp.com/asx/rth/ras-technology-holdings-limited,"	43922200",0.99,0.05,5.32,Industrials
SPL,Starpharma Holdings Limited (ASX:SPL),https://www.listcorp.com/asx/spl/starpharma-holdings,"	43913600",0.105,0,0,Health Care
IMPQ,eInvest Future Impact Small Caps Fund (ASX:IMPQ),https://www.listcorp.com/asx/impq/einvest-future-impact-small-caps-fund,"	43605800",4.87,0.1,2.1,Unclassified
TEK,Thorney Technologies Limited (ASX:TEK),https://www.listcorp.com/asx/tek/thorney-technologies-limited,"	43450800",0.12,0.01,4.35,Energy
SEQ,Sequoia Financial Group Ltd (ASX:SEQ),https://www.listcorp.com/asx/seq/sequoia-financial-group-ltd,"	43258900",0.345,-0.01,-1.43,Financials
MHK,Metal Hawk Limited (ASX:MHK),https://www.listcorp.com/asx/mhk/metal-hawk-limited,"	43187400",0.35,0,0,Materials
CRI,Critica Limited (ASX:CRI),https://www.listcorp.com/asx/cri/critica-limited,"	43170900",0.017,0,6.25,Materials
RML,Resolution Minerals Ltd (ASX:RML),https://www.listcorp.com/asx/rml/resolution-minerals-ltd,"	42999800",0.07,0,7.69,Materials
POD,Podium Minerals Limited (ASX:POD),https://www.listcorp.com/asx/pod/podium-minerals-limited,"	42928900",0.054,0,0,Materials
